,band_1,band_5,band_11,ADM2_CODE,ADM2_NAME,ADM1_CODE,ADM1_NAME,ADM0_CODE,ADM0_NAME
79,358,247,188,21921.0,Sanga,2119.0,Niassa,170.0,Mozambique
80,0,0,0,21922.0,Buzi,2120.0,Sofala,170.0,Mozambique
81,0,0,0,21923.0,Caia,2120.0,Sofala,170.0,Mozambique
82,0,0,0,21924.0,Chemba,2120.0,Sofala,170.0,Mozambique
83,0,0,0,21925.0,Cheringoma,2120.0,Sofala,170.0,Mozambique
84,0,0,0,21926.0,Chibabava,2120.0,Sofala,170.0,Mozambique
85,0,0,0,21927.0,Dondo,2120.0,Sofala,170.0,Mozambique
86,0,0,0,21928.0,Gorongosa,2120.0,Sofala,170.0,Mozambique
87,0,0,0,21929.0,Machanga,2120.0,Sofala,170.0,Mozambique
88,0,0,0,21930.0,Maringue,2120.0,Sofala,170.0,Mozambique
89,0,0,0,21931.0,Marromeu,2120.0,Sofala,170.0,Mozambique
90,0,0,0,21932.0,Muanza,2120.0,Sofala,170.0,Mozambique
91,0,0,0,21933.0,Nhamatanda,2120.0,Sofala,170.0,Mozambique
92,0,0,0,21934.0,Angonia,2121.0,Tete,170.0,Mozambique
93,0,0,0,21935.0,Cahora Bassa,2121.0,Tete,170.0,Mozambique
94,0,0,0,21936.0,Changara,2121.0,Tete,170.0,Mozambique
95,0,0,0,21937.0,Chifunde,2121.0,Tete,170.0,Mozambique
96,0,0,0,21938.0,Chiuta,2121.0,Tete,170.0,Mozambique
97,0,0,0,21939.0,Macanga,2121.0,Tete,170.0,Mozambique
98,0,0,0,21940.0,Magoe,2121.0,Tete,170.0,Mozambique
99,0,0,0,21941.0,Maravia,2121.0,Tete,170.0,Mozambique
100,0,0,0,21942.0,Moatize,2121.0,Tete,170.0,Mozambique
101,0,0,0,21943.0,Mutarara,2121.0,Tete,170.0,Mozambique
102,0,0,0,21944.0,Tsangano,2121.0,Tete,170.0,Mozambique
103,0,0,0,21945.0,Zumbu,2121.0,Tete,170.0,Mozambique
104,0,0,0,21946.0,Chinde,2122.0,Zambezia,170.0,Mozambique
105,0,0,0,21947.0,Gile,2122.0,Zambezia,170.0,Mozambique
106,0,0,0,21948.0,Gurue,2122.0,Zambezia,170.0,Mozambique
107,0,0,0,21949.0,Ile,2122.0,Zambezia,170.0,Mozambique
108,0,0,0,21950.0,Inhassunge,2122.0,Zambezia,170.0,Mozambique
109,0,0,0,21951.0,Lugela,2122.0,Zambezia,170.0,Mozambique
110,0,0,0,21952.0,Maganja da Costa,2122.0,Zambezia,170.0,Mozambique
