admin_code,ensemble,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_1,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_5,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11,band_11
,,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05
21833,00,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,01,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,02,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,03,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,04,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,05,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,06,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,07,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,08,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,09,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,10,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21833,11,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9462.1384,9462.1384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
