,ADM0_NAME,ADM1_NAME,band_1,band_5,band_11
0,Malawi,Area under National Administration,0,0,0
1,Malawi,Central Region,0,0,0
2,Malawi,Northern Region,0,0,0
3,Malawi,Southern Region,0,0,0
