,ADM0_NAME,ADM1_NAME,ADM2_NAME,band_1,band_5,band_11
94,Mozambique,Niassa,Metarica,0,0,0
95,Mozambique,Niassa,Muembe,1226,831,530
96,Mozambique,Niassa,Ngauma,0,0,0
97,Mozambique,Niassa,Nipepe,0,0,0
98,Mozambique,Niassa,Sanga,1959,1457,1044
99,Mozambique,Sofala,Buzi,0,0,0
100,Mozambique,Sofala,Caia,0,0,0
101,Mozambique,Sofala,Chemba,0,0,0
102,Mozambique,Sofala,Cheringoma,0,0,0
103,Mozambique,Sofala,Chibabava,0,0,0
104,Mozambique,Sofala,Cidade da Beira,0,0,0
105,Mozambique,Sofala,Dondo,0,0,0
106,Mozambique,Sofala,Gorongosa,0,0,0
107,Mozambique,Sofala,Machanga,0,0,0
108,Mozambique,Sofala,Maringue,0,0,0
109,Mozambique,Sofala,Marromeu,0,0,0
110,Mozambique,Sofala,Muanza,0,0,0
111,Mozambique,Sofala,Nhamatanda,0,0,0
112,Mozambique,Tete,Angonia,0,0,0
113,Mozambique,Tete,Cahora Bassa,0,0,0
114,Mozambique,Tete,Changara,0,0,0
115,Mozambique,Tete,Chifunde,0,0,0
116,Mozambique,Tete,Chiuta,0,0,0
117,Mozambique,Tete,Cidade de Tete,0,0,0
118,Mozambique,Tete,Doa,0,0,0
119,Mozambique,Tete,Macanga,0,0,0
120,Mozambique,Tete,Magoe,0,0,0
121,Mozambique,Tete,Marara,0,0,0
122,Mozambique,Tete,Maravia,0,0,0
123,Mozambique,Tete,Moatize,0,0,0
124,Mozambique,Tete,Mutarara,0,0,0
125,Mozambique,Tete,Tsangano,0,0,0
126,Mozambique,Tete,Zumbu,0,0,0
127,Mozambique,Zambezia,Alto Molocue,0,0,0
128,Mozambique,Zambezia,Chinde,0,0,0
129,Mozambique,Zambezia,Cidade de Quelimane,0,0,0
130,Mozambique,Zambezia,Derre,0,0,0
131,Mozambique,Zambezia,Gile,0,0,0
132,Mozambique,Zambezia,Gurue,0,0,0
133,Mozambique,Zambezia,Ile,0,0,0
134,Mozambique,Zambezia,Inhassunge,0,0,0
135,Mozambique,Zambezia,Luabo,0,0,0
136,Mozambique,Zambezia,Lugela,0,0,0
137,Mozambique,Zambezia,Maganja da Costa,0,0,0
138,Mozambique,Zambezia,Maquival,0,0,0
139,Mozambique,Zambezia,Milange,0,0,0
140,Mozambique,Zambezia,Mocuba,0,0,0
141,Mozambique,Zambezia,Mocubela,0,0,0
142,Mozambique,Zambezia,Molumbo,0,0,0
143,Mozambique,Zambezia,Mopeia,0,0,0
144,Mozambique,Zambezia,Morrumbala,0,0,0
145,Mozambique,Zambezia,Mulevala,0,0,0
146,Mozambique,Zambezia,Namacurra,0,0,0
147,Mozambique,Zambezia,Namarroi,0,0,0
148,Mozambique,Zambezia,Nicoadala,0,0,0
149,Mozambique,Zambezia,Pebane,0,0,0
